Username,Tweet ID,Tweet,Favourites Count,Retweet Count
ericgarland,1467879936279158789,U.S. intelligence narrows down those attacks on our hospitals and critical infrastructure to - HOLD ONTO YER BUTTS!… https://t.co/Qh072X3fMI,1611,865
sidhant,1467865837105135618,PM modi gifted Agate bowls created by Tribal community to President Putin https://t.co/964yhIn5ll,8612,795
JackPosobiec,1467690208657297412,"Putin knows everything about Biden and Burisma

That’s why he’ll get NordStream 2 and anything else he wants while… https://t.co/709aqrL6bu",10927,2678
ANI,1467834770251870214,"Delhi: PM Narendra Modi receives Russian President Vladimir Putin at Hyderabad House

The two leaders will hold the… https://t.co/nQK4ZzbxEu",10224,882
MEAIndia,1467840499356606465,"🇮🇳🇷🇺 | Welcoming India’s trusted friend and longstanding partner.

PM @narendramodi welcomed Russian President Vlad… https://t.co/K8g0H249Wi",16611,1357
tedcruz,1467724663195381763,Russia is massing troops on Ukraine border BECAUSE Biden gave Putin Nord Stream 2 pipeline (allowing Russia to bypa… https://t.co/RaN3yjsqVl,3317,778
Suhelseth,1467840569942720514,It’s such a relief that Putin is in India today because from tomorrow most folks in the media will be busy with the Kat-Vicky wedding.,7308,568
MahuaMoitra,1468172396293021699,"Putin meets Modi.

Guess he’s given him top tips for doing away with Constitution &amp; ensuring how to remain PM for life!",3060,358
sanghaviharsh,1467881250853560321,PM Shri @narendramodi ji presents Khambhat (Central Gujarat) made gift to President Putin. https://t.co/xY8MJpiXPc,2382,289
grantstern,1467622671370407937,Bob Dole was a registered agent for Putin's top deputy oligarch Oleg Deripaska who later ran the Russian campaign t… https://t.co/mHRTLrWGvb,2131,657
ANI,1467840840835817478,"We perceive India as a great power, a friendly nation, and a time-tested friend. The relations between our nations… https://t.co/NHUKDnOXSk",5077,489
ANI,1467835778147381248,"#WATCH | Delhi: PM Narendra Modi receives Russian President Vladimir Putin at Hyderabad House

The two leaders will… https://t.co/7VN1DzI4YO",3186,381
