Username,Tweet ID,Creation Date,Tweet
1future,1310703202044645376,2020-09-28 22:09:29+00:00,"HEY SIRI, PLAY RAP LIFE ON @AppleMusic 🦅🦅🦅 https://t.co/8lNdVGqYi8"
1future,1307441881404575746,2020-09-19 22:10:10+00:00,It’s my son Jaiden birthday I love u to the extreme kid.. behind u 1000%
1future,1306357674439737346,2020-09-16 22:21:55+00:00,HAPPY BIRTHDAY @MetroBoomin 🦅
1future,1304912771570708482,2020-09-12 22:40:23+00:00,RT @kanyewest: WHEN YOU DEDICATE YOUR LIFE TO DESIGNING THE FUTURE AND THEY END UP ON FUTURE ⛷ https://t.co/HlJ34ODVTg
1future,1301696232344006656,2020-09-04 01:39:00+00:00,RT @DoeBoyOfficial: How you touching me? Yo bitch can’t even get in touch wit me 🤣🤷🏽‍♂️ https://t.co/rVO4O3abYu
1future,1294035763969966080,2020-08-13 22:19:02+00:00,#RAPLIFE @AppleMusic https://t.co/VOF7tNlqo1
1future,1292895607397416960,2020-08-10 18:48:28+00:00,SHOUTOUT TO THE DAY 1 FUTURE FANS   https://t.co/hJaSu9zubB
1future,1289328457436950530,2020-07-31 22:33:53+00:00,PLUTO X BABY PLUTO https://t.co/mF0N1V6shS
1future,1289319279867777024,2020-07-31 21:57:25+00:00,"RT @RapCaviar: Pluto and Baby Pluto aren't just nicknames, they're really out of this world! New music from @1future &amp; @liluzivert on RapCa…"
1future,1289319200998199298,2020-07-31 21:57:06+00:00,"RT @AppleMusic: ✌️ new ones from @1future x @LILUZIVERT.

Listen to #Patek: https://t.co/TQOvcdBgY5
Listen to #OverYourHead: https://t.co/l…"
1future,1289308274500579328,2020-07-31 21:13:41+00:00,PATEK: https://t.co/QKLoFV4XGT
1future,1289308151876132869,2020-07-31 21:13:12+00:00,OVER YOUR HEAD: https://t.co/HkbnW1w72G
1future,1288951227443748867,2020-07-30 21:34:54+00:00,Put God 1st and everything else will fall in place.
1future,1288927865866801156,2020-07-30 20:02:05+00:00,RT @DoeBoyOfficial: This “Demons R Us” album gonna be that ONE for me .. I can feel it 🙏🏾
1future,1288310756438683649,2020-07-29 03:09:54+00:00,Thank u thank u thank u for staying down with me...priceless
1future,1287867989602099200,2020-07-27 21:50:30+00:00,@DoeBoyOfficial 🦅🦅🦅🦅🦅🦅
1future,1287867419000631296,2020-07-27 21:48:14+00:00,Bout to catch ah jet and ima be late for that 🤷🏽‍♂️
1future,1287648638521483264,2020-07-27 07:18:53+00:00,Buy her a Patek if u love her 😘
1future,1285665796589584385,2020-07-21 19:59:47+00:00,Pluto X Baby Pluto https://t.co/67wb72Tf3V
1future,1285463833176428544,2020-07-21 06:37:15+00:00,#NewProfilePic https://t.co/IejgvE5asO
1future,1285292007808733184,2020-07-20 19:14:28+00:00,POSTED WITH DEMONS @Vevo https://t.co/tAS6yaPCAJ
1future,1284207458014171137,2020-07-17 19:24:52+00:00,"RT @TIDAL: 5 years ago today Future dropped DS2.

The project featured:
📌Thought It Was a Drought
📌Where Ya At
📌Stick Talk
📌Real Sisters
an…"
1future,1282728984933851136,2020-07-13 17:29:56+00:00,Legends never Die @JuiceWorlddd
1future,1282721094244368385,2020-07-13 16:58:35+00:00,RIDIN STRIKERS VIDEO OUT NOW ON @VEVO https://t.co/UnOQSebV1w
1future,1282710436153098241,2020-07-13 16:16:14+00:00,"RIDIN STRIKERS
https://t.co/RNQoKC0Nnk https://t.co/2MpOjufi9f"
1future,1281022998879899653,2020-07-09 00:30:57+00:00,https://t.co/jHnUUa5sxV
1future,1280561956148084737,2020-07-07 17:58:56+00:00,"RT @audiomack: #Featured💡 

check out #Freebandz 'Nun Bigger Than The Bird' official playlist featuring @1future, @DoeBoyOfficial, @guaptvr…"
1future,1279215988878213122,2020-07-04 00:50:33+00:00,RT @DoeBoyOfficial: ALBUM MODE 😈 Drop a 🔥 if I should drop this NOW .. Who should I put on here ?? 🧐 #DemonsRUs SOON 🦅 https://t.co/isBNPJK…
1future,1279208638943580162,2020-07-04 00:21:20+00:00,WOO N PEACE POPSMOKE
1future,1278064866461450249,2020-06-30 20:36:24+00:00,Happy bday KING KOBI. Love you for eternity son
1future,1277673529094406144,2020-06-29 18:41:22+00:00,#RAPLIFE @AppleMusic https://t.co/eFCfBlHFXa
1future,1275359158443933697,2020-06-23 09:24:53+00:00,I’m too infatuated with the truth to fall for a myth. PLUTO
1future,1271288521664258048,2020-06-12 03:49:37+00:00,I’m Jus different and comfortable in my own skin.
1future,1271284727727579136,2020-06-12 03:34:33+00:00,I dnt speak on people Business I dnt kno good or bad...understood
1future,1271263227398291459,2020-06-12 02:09:06+00:00,Never looking back...
1future,1268400763060908034,2020-06-04 04:34:42+00:00,Love all who have Love for all
1future,1267977281424683009,2020-06-03 00:31:56+00:00,https://t.co/46F8LsgLU4
1future,1267446064530907138,2020-06-01 13:21:04+00:00,Prayers Up for #GeorgeFloyd family.
1future,1266148387113463808,2020-05-28 23:24:34+00:00,🤐
1future,1265841422688587779,2020-05-28 03:04:48+00:00,@guaptvrvntino It’s yo day.. I love u forever twin YFBG 🦅
1future,1265431157404925952,2020-05-26 23:54:33+00:00,7 number 1 albums and they mentioning me with ELVIS PRESLEY. Grateful and beyond THANKFUL
1future,1264771171016310784,2020-05-25 04:12:00+00:00,Ain in the mood to brag but u get it. #1
1future,1264718859971391488,2020-05-25 00:44:08+00:00,7 number 1 albums that’s real love. Lucky Me
1future,1264393817936891904,2020-05-24 03:12:32+00:00,...that’s the beauty of it
1future,1264378361649885184,2020-05-24 02:11:07+00:00,Posted wit sum Demons
1future,1264355655034363905,2020-05-24 00:40:53+00:00,HERMÈS KELLY THE WAVE
1future,1264355099712778240,2020-05-24 00:38:41+00:00,KELLY OR CHANEL?
1future,1264315387241365504,2020-05-23 22:00:52+00:00,Yacht or Jet skis??
1future,1264087738241835008,2020-05-23 06:56:17+00:00,Zone 6 we #1
1future,1264087272246280193,2020-05-23 06:54:25+00:00,NO CAP
1future,1263725420723216385,2020-05-22 06:56:33+00:00,Give respect Get respected
1future,1263635004946595841,2020-05-22 00:57:17+00:00,RT @amazonmusic: .@1future and #YoungboyNeverBrokeAgain linked up for a 🔥 new track #Trillionaire 🗣 Ask Alexa to play the #SongOfTheDay to…
1future,1263531980945317893,2020-05-21 18:07:54+00:00,U crying over shoe money when u could’ve jus ask for it. RELAX
1future,1263531091509510144,2020-05-21 18:04:22+00:00,U was really really lucky...RELAX
1future,1263531039919443968,2020-05-21 18:04:09+00:00,RT @1future: #HIGHOFFLIFE @SoundCloud https://t.co/JSDWtEVXSv
1future,1263530756606853120,2020-05-21 18:03:02+00:00,RT @1future: Quotes to live by
1future,1263530502788714497,2020-05-21 18:02:01+00:00,Quotes to live by
1future,1263529242593308674,2020-05-21 17:57:01+00:00,I get paid when I tweet
1future,1263525780048482307,2020-05-21 17:43:15+00:00,Caught me slipping ok so what
1future,1263524589331767299,2020-05-21 17:38:31+00:00,I’m frm murder block 22 Kirkwood
1future,1263522368783298562,2020-05-21 17:29:42+00:00,U act jus like u look
1future,1263521994282328069,2020-05-21 17:28:13+00:00,I told my dog learn frm u..
1future,1263521040828895235,2020-05-21 17:24:25+00:00,Ugly girls b in imaginary relationships
1future,1263520755016511489,2020-05-21 17:23:17+00:00,Dnt get high and treat a ugly girl pretty..HUGE MISTAKE
1future,1263517324432285697,2020-05-21 17:09:39+00:00,Leave them ugly girls alone...
1future,1263515903091789824,2020-05-21 17:04:00+00:00,People make lies up to make they self feel good.
1future,1263512740397830149,2020-05-21 16:51:26+00:00,#HIGHOFFLIFE @SoundCloud https://t.co/JSDWtEVXSv
1future,1263306298029936645,2020-05-21 03:11:07+00:00,PINK DIAMONDS
1future,1263274791395643393,2020-05-21 01:05:55+00:00,TUNNEL VISON PLUTO
1future,1263274557294751746,2020-05-21 01:04:59+00:00,H I G H O F F L I F E 🦅
1future,1263192571238645760,2020-05-20 19:39:12+00:00,NEW PLAYLIST ON @youtubemusic https://t.co/6NVugwofN5
1future,1262798834087989253,2020-05-19 17:34:38+00:00,#HIGHOFFLIFE MERCH https://t.co/7HuRFJInjy https://t.co/OZWPIWgrde
1future,1262732577024225280,2020-05-19 13:11:21+00:00,Happy Birthday FUTURE. Love u FOREVER twin
